default_hex,palette_hex
#A59B84,#684634
#E8867C,#ED1C24
#A17876,#600018
#BCAC7F,#95682A
#D778A7,#CB007A
#8F9688,#3C3C3C
#71786A,#000000
#EDD1A6,#F8B277
#ADB4A6,#787878
#B5F899,#87FF5E
#D2CDBF,#C2AAAA
#77B9A1,#0C816E
#78D59E,#0EB968
#EEE788,#F9DD3B
#EBBFBF,#F38DA9
#85A0B9,#28509E
#BED1E8,#99B1FB
#A1F4E3,#60F7F2
#E788AA,#EC1F80
#F1B87E,#FF7F27
#F1F5C8,#FFFABC
#67745D,#000000
#ABF48C,#87FF5E
#85927B,#3C3C3C
#B2A872,#95682A
#9B9777,#684634
#A3B099,#787878
#E3CD99,#F8B277
#6ED191,#0EB968
#E4E37B,#F9DD3B
#6DB594,#0C816E
#977469,#600018
#E7B471,#F6AA09
#85A0B9,#28509E
#BED1E8,#99B1FB
#DAE1D3,#D2D2D2
#F1F8EA,#D7DCE1
#C7AE8D,#95682A
#F3888A,#ED1C24
#FCBA8C,#FF7F27
#F6C1CD,#F38DA9
#B8B6B4,#787878
#F8D3B4,#F8B277
#E5E3E1,#D2D2D2
#AC7A84,#600018
#B880C5,#780C99
#F9E996,#F9DD3B
#F7CF7D,#E6B857
#B09D92,#684634
#7C7A78,#000000
#90A2C7,#28509E
#9A9896,#3C3C3C
#7B9CAC,#4093E4
#7BEBA8,#13E67B
